u,v,w
26,36,10
26,39,9
26,44,8
26,45,8
26,46,2
27,1,2
27,5,8
27,9,2
27,16,7
27,22,8
27,24,2
27,25,6
27,26,4
27,34,1
27,37,1
27,38,6
27,39,4
27,46,5
28,4,5
28,5,6
28,7,3
28,11,10
28,12,3
28,15,7
28,20,10
28,22,6
28,24,9
28,25,9
28,26,7
28,27,4
28,30,5
28,33,9
28,37,2
28,40,10
28,41,7
28,46,10
29,2,7
29,4,7
29,7,8
29,12,5
29,14,1
29,19,10
29,20,6
29,34,5
29,40,9
29,41,1
29,44,5
29,46,2
30,6,9
30,7,5
30,10,2
30,12,8
30,18,8
30,23,5
30,26,2
30,33,1
30,35,6
30,36,3
30,37,10
30,40,8
30,41,2
30,45,4
30,46,8
31,3,4
31,4,4
31,5,8
31,10,9
31,11,3
31,13,7
31,16,2
31,22,3
31,24,1
31,27,4
31,28,4
31,29,3
31,34,6
31,39,4
31,42,5
31,44,1
31,45,5
32,2,4
32,6,8
32,9,3
32,10,7
32,11,6
32,14,1
32,16,1
32,22,2
32,28,7
32,31,1
32,35,8
32,36,9
32,37,9
32,40,6
32,41,6
32,42,7
33,3,8
33,4,8
33,5,9
33,6,8
33,9,4
33,22,2
33,23,10
33,26,2
33,34,6
33,35,3
33,36,10
33,37,1
33,38,8
33,41,1
33,44,10
34,1,7
34,2,1
34,5,3
34,6,2
34,7,8
34,8,1
34,12,2
34,14,2
34,15,9
34,18,1
34,20,2
34,23,10
34,24,6
34,32,3
34,36,2
34,38,1
34,40,3
34,45,10
35,3,8
35,4,1
35,5,5
35,7,7
35,8,5
35,10,4
35,16,7
35,18,8
35,28,5
35,31,3
35,36,10
35,43,4
35,46,2
36,0,6
36,2,4
36,3,6
36,4,2
36,6,4
36,11,4
36,12,1
36,14,6
36,15,2
36,16,8
36,18,2
36,22,9
36,23,3
36,26,3
36,27,5
37,0,7
37,5,6
37,6,10
37,7,4
37,9,10
37,14,5
37,20,9
37,24,10
37,26,8
37,29,10
37,32,8
37,39,7
37,45,5
37,46,1
38,0,8
38,1,8
38,4,9
38,5,9
38,15,10
38,16,7
38,18,6
38,19,8
38,21,4
38,23,6
38,28,10
38,30,9
38,34,5
38,39,3
38,41,7
38,43,7
39,7,2
39,8,1
39,9,4
39,15,1
39,21,2
39,22,8
39,27,10
39,34,3
40,1,10
40,3,7
40,4,4
40,8,8
40,9,9
40,12,8
40,18,2
40,24,4
40,32,8
40,33,4
40,34,7
40,35,7
40,37,5
40,41,6
40,46,6
41,5,2
41,9,3
41,13,2
41,14,9
41,16,2
41,24,5
41,25,7
41,26,8
41,29,3
41,33,4
41,34,3
41,35,5
41,38,5
42,0,7
42,6,5
42,9,10
42,12,5
42,15,9
42,19,4
42,27,8
42,28,5
42,36,10
42,38,3
42,40,3
42,41,1
43,3,7
43,7,6
43,8,7
43,9,2
43,11,3
43,12,3
43,18,10
43,19,2
43,20,4
43,23,7
43,25,9
43,33,5
43,35,5
43,38,9
43,46,2
44,3,1
44,5,1
44,14,4
44,23,10
44,25,9
44,29,8
44,31,8
44,33,10
44,35,6
44,36,4
44,40,3
44,43,5
45,12,8
45,15,9
45,22,1
45,24,3
45,26,8
45,30,9
45,31,10
45,38,1
45,46,7
46,1,1
46,2,10
46,3,2
46,8,5
46,9,7
46,12,10
46,14,7
46,16,5
46,17,10
46,18,2
46,19,3
46,23,9
46,26,8
46,28,2
46,33,7
46,36,8
46,37,6
31,30,1
